state loaded in 8s
resume: 32106 orbits, 3691 expanded, 1 skipped, 28414 queued; tight range 30..10845; workers 207
tight=30: 30 neighbors, +12 orbits, total 33424, expanded 3903
tight=30: 30 neighbors, +5 orbits, total 33429, expanded 3904
tight=30: 30 neighbors, +4 orbits, total 33433, expanded 3905
tight=30: 30 neighbors, +15 orbits, total 33448, expanded 3906
tight=30: 30 neighbors, +14 orbits, total 33462, expanded 3907
tight=30: 30 neighbors, +7 orbits, total 33469, expanded 3908
tight=30: 30 neighbors, +1 orbits, total 33470, expanded 3909
tight=30: 30 neighbors, +6 orbits, total 33476, expanded 3910
tight=30: 30 neighbors, +5 orbits, total 33481, expanded 3911
tight=30: 30 neighbors, +4 orbits, total 33485, expanded 3912
tight=30: 30 neighbors, +7 orbits, total 33492, expanded 3913
tight=30: 30 neighbors, +5 orbits, total 33497, expanded 3914
tight=30: 30 neighbors, +7 orbits, total 33504, expanded 3915
tight=30: 30 neighbors, +13 orbits, total 33517, expanded 3916
tight=30: 30 neighbors, +3 orbits, total 33520, expanded 3917
tight=30: 30 neighbors, +7 orbits, total 33527, expanded 3918
tight=30: 30 neighbors, +7 orbits, total 33534, expanded 3919
tight=30: 30 neighbors, +8 orbits, total 33542, expanded 3920
tight=30: 30 neighbors, +4 orbits, total 33546, expanded 3921
tight=30: 30 neighbors, +3 orbits, total 33549, expanded 3922
tight=30: 30 neighbors, +9 orbits, total 33558, expanded 3923
tight=30: 30 neighbors, +10 orbits, total 33568, expanded 3924
tight=30: 30 neighbors, +4 orbits, total 33572, expanded 3925
tight=30: 30 neighbors, +17 orbits, total 33589, expanded 3926
tight=30: 30 neighbors, +3 orbits, total 33592, expanded 3927
tight=30: 30 neighbors, +4 orbits, total 33596, expanded 3928
tight=30: 30 neighbors, +4 orbits, total 33600, expanded 3929
tight=30: 30 neighbors, +5 orbits, total 33605, expanded 3930
tight=30: 30 neighbors, +7 orbits, total 33612, expanded 3931
tight=30: 30 neighbors, +4 orbits, total 33616, expanded 3932
tight=30: 30 neighbors, +13 orbits, total 33629, expanded 3933
tight=30: 30 neighbors, +3 orbits, total 33632, expanded 3934
tight=30: 30 neighbors, +12 orbits, total 33644, expanded 3935
tight=30: 30 neighbors, +8 orbits, total 33652, expanded 3936
tight=30: 30 neighbors, +14 orbits, total 33666, expanded 3937
tight=30: 30 neighbors, +3 orbits, total 33669, expanded 3938
tight=30: 30 neighbors, +4 orbits, total 33673, expanded 3939
tight=30: 30 neighbors, +4 orbits, total 33677, expanded 3940
tight=30: 30 neighbors, +7 orbits, total 33684, expanded 3941
tight=30: 30 neighbors, +7 orbits, total 33691, expanded 3942
tight=30: 30 neighbors, +13 orbits, total 33704, expanded 3943
tight=30: 30 neighbors, +3 orbits, total 33707, expanded 3944
tight=30: 30 neighbors, +9 orbits, total 33716, expanded 3945
tight=30: 30 neighbors, +5 orbits, total 33721, expanded 3946
tight=30: 30 neighbors, +11 orbits, total 33732, expanded 3947
tight=30: 30 neighbors, +3 orbits, total 33735, expanded 3948
tight=30: 30 neighbors, +8 orbits, total 33743, expanded 3949
tight=30: 30 neighbors, +0 orbits, total 33743, expanded 3950
tight=30: 30 neighbors, +11 orbits, total 33754, expanded 3951
tight=30: 30 neighbors, +4 orbits, total 33758, expanded 3952
tight=30: 30 neighbors, +7 orbits, total 33765, expanded 3953
tight=30: 30 neighbors, +4 orbits, total 33769, expanded 3954
tight=30: 30 neighbors, +5 orbits, total 33774, expanded 3955
tight=30: 30 neighbors, +8 orbits, total 33782, expanded 3956
tight=30: 30 neighbors, +7 orbits, total 33789, expanded 3957
tight=30: 30 neighbors, +9 orbits, total 33798, expanded 3958
tight=30: 30 neighbors, +6 orbits, total 33804, expanded 3959
tight=30: 30 neighbors, +9 orbits, total 33813, expanded 3960
tight=30: 30 neighbors, +5 orbits, total 33818, expanded 3961
tight=30: 30 neighbors, +7 orbits, total 33825, expanded 3962
tight=30: 30 neighbors, +4 orbits, total 33829, expanded 3963
tight=30: 30 neighbors, +2 orbits, total 33831, expanded 3964
tight=30: 30 neighbors, +5 orbits, total 33836, expanded 3965
tight=30: 30 neighbors, +12 orbits, total 33848, expanded 3966
tight=30: 30 neighbors, +5 orbits, total 33853, expanded 3967
tight=30: 30 neighbors, +8 orbits, total 33861, expanded 3968
tight=30: 30 neighbors, +6 orbits, total 33867, expanded 3969
tight=30: 30 neighbors, +9 orbits, total 33876, expanded 3970
tight=30: 30 neighbors, +3 orbits, total 33879, expanded 3971
tight=30: 30 neighbors, +2 orbits, total 33881, expanded 3972
tight=30: 30 neighbors, +3 orbits, total 33884, expanded 3973
tight=30: 30 neighbors, +6 orbits, total 33890, expanded 3974
tight=30: 30 neighbors, +3 orbits, total 33893, expanded 3975
tight=30: 30 neighbors, +10 orbits, total 33903, expanded 3976
tight=30: 30 neighbors, +1 orbits, total 33904, expanded 3977
tight=30: 30 neighbors, +5 orbits, total 33909, expanded 3978
tight=30: 30 neighbors, +6 orbits, total 33915, expanded 3979
tight=30: 30 neighbors, +3 orbits, total 33918, expanded 3980
tight=30: 30 neighbors, +2 orbits, total 33920, expanded 3981
tight=30: 30 neighbors, +9 orbits, total 33929, expanded 3982
tight=30: 30 neighbors, +9 orbits, total 33938, expanded 3983
tight=30: 30 neighbors, +12 orbits, total 33950, expanded 3984
tight=30: 30 neighbors, +9 orbits, total 33959, expanded 3985
tight=30: 30 neighbors, +4 orbits, total 33963, expanded 3986
tight=30: 30 neighbors, +2 orbits, total 33965, expanded 3987
tight=30: 30 neighbors, +13 orbits, total 33978, expanded 3988
tight=30: 30 neighbors, +1 orbits, total 33979, expanded 3989
tight=30: 30 neighbors, +8 orbits, total 33987, expanded 3990
